EN, BL,GZ L ,GZ L cells,GZ WA,GZ WA cells,GZ WB,GZ WB cells,GZ A,Last Seg L,Last Seg L cells,Last Seg A,Trunk A,DAPI,Tagma
10,0.667,0.054,10,0.131,23,0.116,16,0.00644,0.007,2,0.00142,0.053,6,Thoracic PostMolt
10,0.639,0.062,11,0.109,18,0.094,13,0.0064,0.007,1,0.00136,0.047,5,Thoracic PostMolt
10,0.64,0.054,10,0.112,19,0.094,13,0.00556,0.007,1,0.00167,0.048,5,Thoracic PostMolt
10,0.697,0.044,10,0.13,21,0.12,16,0.00582,0.01,2,0.00201,0.056,5,Thoracic PostMolt
10,0.689,0.067,13,0.142,22,0.126,18,0.00899,0.01,2,0.00238,0.063,4,Thoracic PostMolt
10,0.589,0.046,11,0.116,19,0.105,16,0.00518,0.007,2,0.00104,0.041,1,Thoracic PostMolt
10,0.732,0.068,12,0.138,23,0.128,20,0.00857,0.009,2,0.00221,0.069,12,Thoracic PostMolt
10,0.645,0.063,11,0.133,21,0.113,18,0.00749,0.009,3,0.00164,0.048,3,Thoracic PostMolt
10,0.629,0.062,13,0.155,22,0.13,19,0.00823,0.007,2,0.00225,0.057,6,Thoracic PostMolt
10,0.63,0.062,12,0.129,21,0.116,17,0.0068,0.01,3,0.00183,0.053,5,Thoracic PostMolt
10,0.617,0.046,10,0.126,19,0.111,18,0.00536,0.008,2,0.00167,0.047,2,Thoracic PostMolt
10,0.605,0.056,10,0.14,23,0.113,17,0.00667,0.008,2,0.00164,0.047,7,Thoracic PostMolt
10,0.705,0.07,13,0.139,26,0.119,20,0.00898,0.014,4,0.00218,0.063,4,Thoracic PostMolt
10,0.706,0.062,14,0.131,22,0.123,19,0.00741,0.01,3,0.00196,0.058,1,Thoracic PostMolt
10,0.686,0.062,12,0.148,26,0.131,23,0.0081,0.01,2,0.00235,0.069,3,Thoracic PostMolt
10,0.611,0.062,11,0.129,20,0.115,18,0.00755,0.009,2,0.00157,0.048,11,Thoracic PostMolt
10,0.625,0.041,9,0.123,21,0.11,18,0.00521,0.009,2,0.0017,0.052,4,Thoracic PostMolt
10,0.636,0.06,9,0.139,20,0.116,19,0.00709,0.009,2,0.00188,0.052,1,Thoracic PostMolt
10,0.692,0.067,13,0.135,21,0.122,19,0.00839,0.01,2,0.00199,0.063,3,Thoracic PostMolt
10,0.629,0.048,8,0.123,19,0.116,17,0.00537,0.007,2,0.00137,0.05,2,Thoracic PostMolt
10,0.607,0.06,10,0.138,25,0.116,20,0.00687,0.006,1,0.00183,0.047,7,Thoracic PostMolt
10,0.609,0.049,10,0.117,19,0.103,15,0.00492,0.006,1,0.00137,0.044,10,Thoracic PostMolt
10,0.68,0.068,11,0.14,22,0.123,18,0.00834,0.009,2,0.00197,0.065,3,Thoracic PostMolt
10,0.688,0.059,12,0.141,20,0.126,17,0.00741,0.008,3,0.00214,0.056,1,Thoracic PostMolt
10,0.694,0.066,11,0.138,20,0.124,18,0.00818,0.008,2,0.00207,0.058,5,Thoracic PostMolt
10,0.704,0.069,12,0.146,24,0.129,18,0.00869,0.011,3,0.00222,0.063,5,Thoracic PostMolt
10,0.703,0.074,12,0.15,23,0.126,18,0.00996,0.013,4,0.00253,0.064,2,Thoracic PostMolt
10,0.721,0.062,12,0.131,20,0.123,16,0.00763,0.012,3,0.00193,0.059,2,Thoracic PostMolt
10,0.711,0.078,13,0.146,22,0.119,17,0.00954,0.011,3,0.00234,0.068,3,Thoracic PostMolt
10,0.699,0.066,14,0.138,20,0.118,14,0.00817,0.01,3,0.00201,0.059,2,Thoracic PostMolt
10,0.618,0.051,10,0.14,21,0.113,,0.00597,0.008,2,0.00188,0.051,5,Thoracic PostMolt
10,0.667,0.065,14,0.14,24,0.126,20,0.00824,0.013,3,0.00218,0.057,5,Thoracic PostMolt
10,0.7,0.061,15,0.148,22,0.129,19,0.00813,0.011,4,0.00197,0.064,7,Thoracic PostMolt
10,0.697,0.061,14,0.143,20,0.123,19,0.00752,0.011,3,0.00209,0.056,1,Thoracic PostMolt
10,0.655,0.057,13,0.131,22,0.11,19,0.00653,0.009,2,0.00161,0.05,2,Thoracic PostMolt
10,0.633,0.059,11,0.107,18,0.102,15,0.00579,0.009,2,0.0012,0.046,0,Thoracic PostMolt
10,0.611,0.057,10,0.106,17,0.087,13,0.00563,0.009,2,0.00143,0.046,0,Thoracic PostMolt
11,0.778,0.065,10,0.144,20,0.124,18,0.00869,0.009,2,0.00185,0.08,1,Thoracic PostMolt
11,0.735,0.065,9,0.133,19,0.119,16,0.00837,0.01,2,0.00174,0.072,5,Thoracic PostMolt
11,0.742,0.071,11,0.148,20,0.127,18,0.00929,0.009,3,0.00177,0.073,4,Thoracic PostMolt
11,0.716,0.065,,0.123,,0.108,,0.00715,0.009,,0.00125,0.058,0,Thoracic PostMolt
11,0.696,0.064,11,0.147,22,0.12,19,0.00808,0.012,3,0.00186,0.065,5,Thoracic PostMolt
11,0.725,0.056,12,0.144,23,0.127,18,0.00716,0.01,3,0.00208,0.067,5,Thoracic PostMolt
11,0.728,0.065,11,0.145,21,0.125,16,0.00841,0.007,2,0.00178,0.068,6,Thoracic PostMolt
11,0.707,0.058,10,0.143,20,0.124,15,0.00671,0.007,2,0.00209,0.064,5,Thoracic PostMolt
11,0.757,0.064,10,0.155,23,0.132,18,0.00884,0.009,3,0.0024,0.076,2,Thoracic PostMolt
11,0.704,0.067,11,0.146,20,0.123,18,0.00819,0.007,2,0.00157,0.064,7,Thoracic PostMolt
11,0.755,0.065,11,0.154,25,0.127,19,0.00852,0.008,2,0.00161,0.074,6,Thoracic PostMolt
11,0.788,0.071,13,0.169,27,0.141,22,0.01062,0.011,3,0.00219,0.08,3,Thoracic PostMolt
11,0.759,0.062,10,0.131,20,0.121,16,0.00718,0.009,3,0.00184,0.073,1,Thoracic PostMolt
